"Code","location"
"DWC","hera tower"
"DWC","damas executive height "
"DWC","irise tower "
"DWC","rimal"
"DWC","damac celestia "
"DWC","logistics city"
"DWC ","olivara park"
"DWC ","park gate resid"
"DWC","expo village"
"DWC","jasmine lane"
"DWC","frankurt sports tower"
"DWC","rah beach"
"DWC","the mead"
"DWC","sustainability district "
"DWC","rah luxury living"
"DWC","i rise tower "
"DWC","aviation district "
"DWC","victory drive "
"DWC","regina tower "
"DWC","mazaya bussiness "
"DWC","altayer "
"DWC","golden falcon general trading"
"DWC","the palis "
"DWC","the green"
"DWC","grosvenor house hotel"
"DWC","fortune tower "
"DWC","vida the hills tower"
"DWC","al andalus "
"DWC","town squ "
"DWC","production cit"
"DWC","urbana"
"DWC","hassani "
"DWC","binghatti crecent"
"DWC","jw marriott hotel"
"DWC","oxford terr"
"DWC","uma resid"
"DWC","seven seas"
"DWC","the walk"
"DWC","jumeriah park"
"DWC","mbr aerospace sup"
"DWC","westar"
"DWC","crown tower"
"DWC","nisreen st"
"DWC","thamam "
"DWC","al yalayis "
"DWC","seven seas warehour"
"DWC","gardens ap "
"DWC","european business cent"
"DWC","dana road"
"DWC","al jazira poultry llc"
"DWC","technova warehouse"
"DWC","marsa"
"DWC","olivara resid"
"DWC","damac hills"
"DWC","al qudra "
"DWC","aura by azizi "
"DWC","al mehairi "
"DWC","remraam"
"DWC","fattan marin tower"
"DWC","rah beach road"
"DWC","indu warehouse park"
"DWC","tamani hotel "
"DWC","aramex fulfillment cent"
"DWC","rah business cent"
"DWC","damac height"
"DWC","prod city "
"DWC","nahar st"
"DWC","ittihad road"
"DWC","greens resid"
"DWC","bajrang int"
"DWC","trident grand resid"
"DWC","vestment park"
"DWC","teecom"
"DWC","qasar sabah"
"DWC","maktum airport road"
"DWC","iq fulfillment"
"DWC","emerates hill"
"DWC","estella st"
"DWC","continents tower"
"DWC","gold tower"
"DWC","hobtoor business tower"
"DWC","sheikh sayeed al maktoum complex"
"DWC","quisai"
"DWC","reef tower"
"DWC","ah vil"
"DWC","elemreef st"
"DWC","tilal al ghaf"
"DWC","shams townhouse"
"DWC","sports residence"
"DWC","blue waters"
"DWC","impz crescent"
"DWC","ah golf"
"DWC","shaiba b"
"DWC","binghatti mirage"
"DWC","jumeriah lakes"
"DWC","fortunato b"
"DWC","tenora ap"
"DWC","marlowe house"
"DWC","bluewater"
"DWC","greens golf tower"
"DWC","gardens building"
"DWC","zahra ap"
"DWC","sport cit"
"DWC","brookfield"
"DWC","eastcoast b"
"DWC","sports c"
"DWC","technopark"
"DWC","flight training academy"
"DWC","green avenue"
"DWC","damac executive h"
"DWC","zahra townhouse"
"DWC","laya mansion"
"DWC","furjaan"
"DWC","thanyah"
"DWC","whispering pines"
"DWC","barsha h"
"DWC","al gharbi"
"DWC","j warehouse"
"DWC","oia resid"
"DWC","sheikh zayed"
"DWC","studio c"
"DWC","al tayer"
"DWC","al sidir"
"DWC","belgravia"
"DWC","address beach"
"DWC","central logistic"
"DWC","pantheon elysee"
"DWC","blakely tower"
"DWC","park avenue"
"DWC","al thanyah"
"DWC","madinat"
"DWC","fairooz tower"
"DWC","national indus"
"DWC","binghatti orchid"
"DWC","carolina camp"
"DWC","shuhaib"
"DWC","fairways north tower"
"DWC","opp econosto"
"DWC","discovery garden"
"DWC","emirates hill"
"DWC","tulip street"
"DWC","piccadilly green"
"DWC","al seef"
"DWC","rose residence"
"DWC","dubai world central"
"DWC","corniche st"
"DWC","corniche street"
"DWC","rah height"
"DWC","bonnington tower"
"DWC","ghedir villa"
"DWC","ritaj complex"
"DWC","studio city"
"DWC","international media production"
"DWC","alhabiba"
"DWC","choueifat"
"DWC","pulse boulevard"
"DWC","fairways east"
"DWC","icc headquaters"
"DWC","icc headquater"
"DWC","limitless b"
"DWC","sandoval garden"
"DWC","fern height"
"DWC","ibn battuta"
"DWC","village circle"
"DWC","barsha height"
"DWC","saih shuaib"
"DWC","al emreef"
"DWC","sanibel tower"
"DWC","makani"
"DWC","shakespeare circus"
"DWC","elkhalil road"
"DWC","polo and equestrian club"
"DWC","binghatti lavender"
"DWC","sports city"
"DWC","saba tower"
"DWC","onyx tower"
"DWC","oudah tower"
"DWC","lehbab road "
"DWC","fairfield tower"
"DWC","village triangle"
"DWC","harmony"
"DWC","springs"
"DWC","timeplace tower"
"DWC","golf estate"
"DWC","parkside"
"DWC","dome tower"
"DWC","mudun"
"DWC","al saud st"
"DWC","al saud street"
"DWC","world central airport"
"DWC","tecom"
"DWC","batuta mall"
"DWC","cluster"
"DWC","jbr"
"DWC","the spring"
"DWC","binghatti galaxy"
"DWC","galaxy binghatti"
"DWC","dubai investment"
"DWC","techno park"
"DWC","green com"
"DWC","mbl residence"
"DWC","logistics district"
"DWC","jumeirah park"
"DWC","expo city"
"DWC","business park"
"DWC","platnum tower"
"DWC","motor city"
"DWC","jlt"
"DWC","hasher al maktoum compound"
"DWC","diamond tower"
"DWC","furjan"
"DWC","almas tower"
"DWC","meadows"
"DWC","jvc"
"DWC","mudon"
"DWC","fox hill"
"DWC","jumeirah lake"
"DWC","jvt"
"DWC","victory height"
"DWC","dip"
"DWC","marina"
"DWC","emaar south golf view"
"DWC","al maktoum international"
"DWC","impz"
"DWC","dubai industrial city"
"JFZ","barrak logistics"
"JFZ","burj khalifa st"
"JFZ","burj khalifa street"
"JFZ","schneider electric"
"JFZ","unilever"
"JFZ","lipton tea factory"
"JFZ","atraco"
"JFZ","dorma"
"JFZ","mohebi logistic street"
"JFZ","free trading st"
"JFZ","free trading street"
"JFZ","emirates sky cargo"
"JFZ","daimer"
"JFZ","dubai silicon oasis"
"JFZ","Jebal ali south"
"JFZ","Jebel ali south"
"JFZ","Jebal ali north"
"JFZ","jebel ali north"
"JFZ","Jebal ali free zone south"
"JFZ","Jebel ali free zone south"
"JFZ","Jebal ali free zone north"
"JFZ","Jebel ali free zone south"
"JFZ","lipton factory"
